city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Sidi Yahia El Gharb,34.3058,-6.3058,Morocco,MA,Rabat-Salé-Kénitra,,37979,37979
Biougra,30.2144,-9.3708,Morocco,MA,Souss-Massa,,37933,37933
Taounate,34.5358,-4.6400,Morocco,MA,Fès-Meknès,,37616,37616
Bouznika,33.7894,-7.1597,Morocco,MA,Casablanca-Settat,,37238,37238
Aourir,30.4833,-9.6333,Morocco,MA,Souss-Massa,,36948,36948
Zaïo,34.9396,-2.7334,Morocco,MA,Oriental,,35806,35806
Aguelmous,33.1500,-5.8333,Morocco,MA,Béni Mellal-Khénifra,,35626,35626
El Hajeb,33.6928,-5.3711,Morocco,MA,Fès-Meknès,,35282,35282
Mnasra,34.7667,-5.5167,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,34429,34429
Mediouna,33.4500,-7.5100,Morocco,MA,Casablanca-Settat,,34250,34250
Zeghanghane,35.1575,-3.0017,Morocco,MA,Oriental,,34025,34025
Imzouren,35.1448,-3.8505,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,33852,33852
Loudaya,31.6507,-8.3021,Morocco,MA,Marrakech-Safi,,33767,33767
Oulad Zemam,32.3500,-6.6333,Morocco,MA,Béni Mellal-Khénifra,,33652,33652
Bou Ahmed,33.1119,-7.4058,Morocco,MA,Casablanca-Settat,,33105,33105
Tit Mellil,33.5581,-7.4858,Morocco,MA,Casablanca-Settat,,32782,32782
Arbaoua,34.9000,-5.9167,Morocco,MA,Rabat-Salé-Kénitra,,32690,32690
Douar Oulad Hssine,33.0681,-8.5108,Morocco,MA,Casablanca-Settat,,32130,32130
Bahharet Oulad Ayyad,34.7703,-6.3047,Morocco,MA,Rabat-Salé-Kénitra,,31860,31860
Mechraa Bel Ksiri,34.5787,-5.9630,Morocco,MA,Rabat-Salé-Kénitra,,31497,31497
Mograne,34.4167,-6.4333,Morocco,MA,Rabat-Salé-Kénitra,,31292,31292
Dar Ould Zidouh,32.3167,-6.9000,Morocco,MA,Béni Mellal-Khénifra,,31170,31170
Asilah,35.4667,-6.0333,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,31147,31147
Demnat,31.7311,-7.0361,Morocco,MA,Béni Mellal-Khénifra,,29504,29504
Lalla Mimouna,34.8500,-6.0669,Morocco,MA,Rabat-Salé-Kénitra,,29479,29479
Fritissa,33.6167,-3.5500,Morocco,MA,Fès-Meknès,,29460,29460
Arfoud,31.4361,-4.2328,Morocco,MA,Drâa-Tafilalet,,29279,29279
Tameslouht,31.5000,-8.1000,Morocco,MA,Marrakech-Safi,,28978,28978
Bou Arfa,32.5310,-1.9631,Morocco,MA,Oriental,,28846,28846
Sidi Smai’il,32.8167,-8.5000,Morocco,MA,Casablanca-Settat,,28733,28733
Taza,35.0639,-5.2025,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,28713,28713
Souk et Tnine Jorf el Mellah,34.4833,-5.5169,Morocco,MA,Rabat-Salé-Kénitra,,28681,28681
Mehdya,34.2557,-6.6745,Morocco,MA,Rabat-Salé-Kénitra,,28636,28636
Oulad Hammou,33.2500,-8.3347,Morocco,MA,Casablanca-Settat,,28449,28449
Douar Oulad Aj-jabri,32.2567,-6.7839,Morocco,MA,Béni Mellal-Khénifra,,28438,28438
Aïn Taoujdat,33.9333,-5.2167,Morocco,MA,Fès-Meknès,,28288,28288
Dar Bel Hamri,34.1889,-5.9697,Morocco,MA,Rabat-Salé-Kénitra,,28156,28156
Chichaoua,31.5333,-8.7667,Morocco,MA,Marrakech-Safi,,27869,27869
Tahla,34.0476,-4.4289,Morocco,MA,Fès-Meknès,,27729,27729
Bellaa,30.0314,-9.5542,Morocco,MA,Souss-Massa,,27699,27699
Oulad Yaïch,32.4167,-6.3333,Morocco,MA,Béni Mellal-Khénifra,,27476,27476
Ksebia,34.2933,-6.1594,Morocco,MA,Rabat-Salé-Kénitra,,27059,27059
Tamorot,34.9333,-4.7833,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,26748,26748
Moulay Bousselham,34.8786,-6.2933,Morocco,MA,Rabat-Salé-Kénitra,,26608,26608
Sabaa Aiyoun,33.8969,-5.3611,Morocco,MA,Fès-Meknès,,26277,26277
Bourdoud,34.5922,-4.5492,Morocco,MA,Fès-Meknès,,26236,26236
Aït Faska,31.5058,-7.7161,Morocco,MA,Marrakech-Safi,,26210,26210
Boureït,34.9833,-4.9167,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,25872,25872
Lamzoudia,31.5833,-8.4833,Morocco,MA,Marrakech-Safi,,25674,25674
Oulad Said,32.6320,-8.8456,Morocco,MA,Casablanca-Settat,,25650,25650
Missour,33.0500,-3.9908,Morocco,MA,Fès-Meknès,,25584,25584
Ain Aicha,34.4833,-4.7000,Morocco,MA,Fès-Meknès,,25417,25417
Zawyat ech Cheïkh,32.6541,-5.9214,Morocco,MA,Béni Mellal-Khénifra,,25388,25388
Bouknadel,34.1245,-6.7480,Morocco,MA,Rabat-Salé-Kénitra,,25255,25255
El Ghiate,32.0331,-9.1625,Morocco,MA,Marrakech-Safi,,25162,25162
Safsaf,34.5581,-6.0078,Morocco,MA,Rabat-Salé-Kénitra,,25075,25075
Ouaoula,31.8667,-6.7500,Morocco,MA,Béni Mellal-Khénifra,,24790,24790
Douar Olad. Salem,32.8739,-8.8589,Morocco,MA,Casablanca-Settat,,24775,24775
Oulad Tayeb,33.9598,-4.9954,Morocco,MA,Fès-Meknès,,24594,24594
Echemmaia Est,32.0705,-8.6532,Morocco,MA,Marrakech-Safi,,24303,24303
Oulad Barhil,30.6388,-8.4732,Morocco,MA,Souss-Massa,,24288,24288
Douar ’Ayn Dfali,33.9500,-4.4500,Morocco,MA,Fès-Meknès,,24241,24241
Setti Fatma,31.2256,-7.6758,Morocco,MA,Marrakech-Safi,,24129,24129
Skoura,31.0672,-6.5397,Morocco,MA,Drâa-Tafilalet,,24055,24055
Douar Ouled Ayad,32.4167,-7.1000,Morocco,MA,Casablanca-Settat,,23818,23818
Zawyat an Nwaçer,33.3611,-7.6114,Morocco,MA,Casablanca-Settat,,23802,23802
Khenichet-sur Ouerrha,34.4383,-5.6844,Morocco,MA,Rabat-Salé-Kénitra,,23707,23707
Ayt Mohamed,32.5667,-6.9833,Morocco,MA,Béni Mellal-Khénifra,,23696,23696
Gueznaia,35.7200,-5.8940,Morocco,MA,Tanger-Tétouan-Al Hoceïma,,23601,23601
Oulad Hassoune,31.6503,-7.8361,Morocco,MA,Marrakech-Safi,,23475,23475
Bni Frassen,34.3819,-4.3761,Morocco,MA,Fès-Meknès,,23429,23429
Tifariti,26.0928,-10.6089,Morocco,MA,,primary,,
Zawit Al Bour,30.6748,-8.1742,Morocco,MA,Souss-Massa,minor,,
